Ttimestamp,Average S,Average E,Average I,Average R,STD S,STD E,STD I,STD R
203,0.23706,0.00294,0.00547,0.75453,0.0223769822213214,0.000815407192075768,0.00179817809030264,0.0215498414533998
204,0.23831,0.00299,0.00528,0.75342,0.0220053756058731,0.000937431478977412,0.00159150522741488,0.0213312394805782
205,0.23948,0.00315,0.00533,0.75204,0.0223668802771717,0.000838318422663953,0.00161661511945313,0.0214646582911435
206,0.24066,0.00297,0.00536,0.75101,0.0221741691564256,0.000964998560735829,0.00146378504797209,0.0213250218184075
207,0.24187,0.00305,0.00518,0.7499,0.022245451470157,0.000940744386111339,0.001348085061609,0.0213982346104637
208,0.24284,0.00309,0.00545,0.74862,0.0221904483956499,0.00103650052259193,0.00117686022959398,0.0212346048808176
209,0.24386,0.00325,0.0054,0.74749,0.0222608375603635,0.000945456973578856,0.00151143787316728,0.0210387182752816
210,0.24511,0.00318,0.00548,0.74623,0.0221762360296883,0.00106228265750903,0.00168707504937457,0.0209148564953772
211,0.24645,0.00307,0.00566,0.74482,0.0221682580882366,0.000929814796373749,0.00180443897098239,0.0210223584679635
212,0.24761,0.00332,0.0058,0.74327,0.0221493641744709,0.000796938586787659,0.00189032625050104,0.0210074616373432
213,0.24869,0.00318,0.00578,0.74235,0.0222623473854648,0.000874070935336486,0.00180419264800384,0.0210440939194086
214,0.24922,0.00349,0.00596,0.74133,0.0224449350881465,0.00103435433430179,0.00167676938055165,0.0211965432192243
215,0.25027,0.00343,0.00613,0.74017,0.02223346076925,0.000978717982305878,0.00180434660380612,0.0210775314810187
216,0.25143,0.00365,0.00612,0.7388,0.0220612304482069,0.00099135149053087,0.0017643380880344,0.0210075647750466
217,0.25226,0.00388,0.00622,0.73764,0.0216052565620293,0.00106645831298431,0.00191821676448611,0.0206157005971447
218,0.25344,0.00391,0.00633,0.73632,0.0218888200788541,0.00115127948146592,0.00198720909820784,0.0208148878343256
219,0.25432,0.00402,0.00648,0.73518,0.0218575590789294,0.00131470317731587,0.00211123976216188,0.0208036214796046
220,0.25565,0.00389,0.00653,0.73393,0.0220312026201224,0.00130677720620872,0.0021097919855337,0.0208301090838345
221,0.25667,0.00381,0.00671,0.73281,0.0224118049250836,0.0014043187355836,0.00211052915955533,0.0211384037030025
222,0.25747,0.00395,0.00684,0.73174,0.022497014616759,0.00112669625207704,0.0021914987261385,0.021128243340767
223,0.25855,0.0037,0.00711,0.73064,0.0228367758962016,0.00104562580942387,0.00213876911641564,0.0213135950354072
224,0.25978,0.00361,0.00725,0.72936,0.0227333235581602,0.00132283365881311,0.00191905648113279,0.0212204932396336
225,0.26063,0.00385,0.00729,0.72823,0.0226423423405501,0.00118626397661828,0.00192726057743454,0.0211949705774218
